doc_type,pdf_path,page1_png,source_path,cluster_id
invoice,data/raw_pdfs/0000_invoice.pdf,data/page1_pngs/0000_invoice.png,data/invoice/89293233.tif,6
scientific_publication,data/raw_pdfs/0001_scientific_publication.pdf,data/page1_pngs/0001_scientific_publication.png,data/scientific_publication/2505324601_4608.tif,0
presentation,data/raw_pdfs/0002_presentation.pdf,data/page1_pngs/0002_presentation.png,data/presentation/0001227545.tif,2
news_article,data/raw_pdfs/0003_news_article.pdf,data/page1_pngs/0003_news_article.png,data/news_article/87275097_87275098.tif,10
presentation,data/raw_pdfs/0004_presentation.pdf,data/page1_pngs/0004_presentation.png,data/presentation/2073073379.tif,9
file_folder,data/raw_pdfs/0005_file_folder.pdf,data/page1_pngs/0005_file_folder.png,data/file_folder/0060103152.tif,5
letter,data/raw_pdfs/0006_letter.pdf,data/page1_pngs/0006_letter.png,data/letter/98632428.tif,7
scientific_publication,data/raw_pdfs/0007_scientific_publication.pdf,data/page1_pngs/0007_scientific_publication.png,data/scientific_publication/2505268064_8092.tif,0
handwritten,data/raw_pdfs/0008_handwritten.pdf,data/page1_pngs/0008_handwritten.png,data/handwritten/502394524+-4524.tif,1
email,data/raw_pdfs/0009_email.pdf,data/page1_pngs/0009_email.png,data/email/531376850+-6850.tif,4
budget,data/raw_pdfs/0010_budget.pdf,data/page1_pngs/0010_budget.png,data/budget/2063173115_3117.tif,3
memo,data/raw_pdfs/0011_memo.pdf,data/page1_pngs/0011_memo.png,data/memo/83094149.tif,8
advertisement,data/raw_pdfs/0012_advertisement.pdf,data/page1_pngs/0012_advertisement.png,data/advertisement/10032424.tif,-1
scientific_report,data/raw_pdfs/0013_scientific_report.pdf,data/page1_pngs/0013_scientific_report.png,data/scientific_report/98703309.tif,6
advertisement,data/raw_pdfs/0014_advertisement.pdf,data/page1_pngs/0014_advertisement.png,data/advertisement/2501129663.tif,0
form,data/raw_pdfs/0015_form.pdf,data/page1_pngs/0015_form.png,data/form/0011989362.tif,6
